epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1092,1.20143,3.00572,1.39133,0.57734,0.36971,0.37486,0.25263,1.23322,2.14064,1.48838,0.000301577,0.000301577,0.000301577
2,88.9848,1.21765,2.17279,1.37998,0.66749,0.40436,0.46358,0.2977,1.24165,1.80122,1.50588,0.000564675,0.000564675,0.000564675
3,131.579,1.22035,1.97875,1.38037,0.6479,0.41908,0.46656,0.30192,1.27283,1.96329,1.49033,0.000787777,0.000787777,0.000787777
4,174.5,1.19301,1.84333,1.36141,0.66602,0.48468,0.52035,0.35047,1.19767,1.67278,1.45091,0.000729018,0.000729018,0.000729018
5,217.472,1.16229,1.70554,1.34519,0.73168,0.50574,0.58086,0.40535,1.11639,1.51698,1.40775,0.000669024,0.000669024,0.000669024
6,284.083,1.07307,1.57578,1.30837,0.6909,0.5555,0.63262,0.43962,1.07171,1.33673,1.33272,0.00060903,0.00060903,0.00060903
7,326.214,1.03783,1.38857,1.27254,0.70322,0.59099,0.66999,0.4673,1.0592,1.2856,1.32393,0.000549036,0.000549036,0.000549036
8,368.522,0.98613,1.24674,1.22856,0.7863,0.60971,0.72753,0.52096,0.97257,1.14748,1.26323,0.000489042,0.000489042,0.000489042
9,410.655,0.94257,1.15078,1.20763,0.78348,0.67868,0.77508,0.54854,0.95494,1.01767,1.23386,0.000429048,0.000429048,0.000429048
10,453.269,0.91071,1.04525,1.17178,0.80316,0.69982,0.79361,0.57861,0.89737,0.97541,1.17803,0.000369054,0.000369054,0.000369054
11,495.248,0.87043,0.97507,1.14438,0.86145,0.73393,0.83495,0.617,0.84359,0.86307,1.14009,0.00030906,0.00030906,0.00030906
12,537.88,0.8246,0.88386,1.11157,0.81832,0.78258,0.8464,0.63761,0.82025,0.79992,1.13201,0.000249066,0.000249066,0.000249066
13,580.324,0.78862,0.82557,1.09193,0.84785,0.80799,0.88784,0.67724,0.80656,0.71516,1.11853,0.000189072,0.000189072,0.000189072
14,622.825,0.75968,0.75615,1.0694,0.89591,0.8031,0.89142,0.67771,0.77248,0.67309,1.08931,0.000129078,0.000129078,0.000129078
15,666.12,0.73595,0.71327,1.0503,0.85791,0.85297,0.91092,0.7031,0.75642,0.63239,1.07127,6.9084e-05,6.9084e-05,6.9084e-05
